judge,run,fixture,metric,judge_pass,score,error,err_msg
qwen3-5-2b,run1,off_topic_answer,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,off_topic_answer,AnswerRelevancy,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,off_topic_answer,ContextualRelevancy,0.0,0.4,False,
qwen3-5-2b,run1,off_topic_answer,Completeness,0.0,0.0,False,
qwen3-5-2b,run1,off_topic_answer,Informativeness,1.0,0.8,False,
qwen3-5-2b,run1,minimal_context_good_answer,Faithfulness,0.0,0.6666666666666666,False,
qwen3-5-2b,run1,minimal_context_good_answer,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,minimal_context_good_answer,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,minimal_context_good_answer,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,minimal_context_good_answer,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,contradicts_context,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run1,contradicts_context,AnswerRelevancy,0.0,0.25,False,
qwen3-5-2b,run1,contradicts_context,ContextualRelevancy,0.0,0.25,False,
qwen3-5-2b,run1,contradicts_context,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,contradicts_context,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,not_valid_sample,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run1,not_valid_sample,AnswerRelevancy,0.0,0.3333333333333333,False,
qwen3-5-2b,run1,not_valid_sample,ContextualRelevancy,1.0,0.8,False,
qwen3-5-2b,run1,not_valid_sample,Completeness,0.0,0.0,False,
qwen3-5-2b,run1,not_valid_sample,Informativeness,0.0,0.0,False,
qwen3-5-2b,run1,near_correct_rounding,Faithfulness,0.0,0.3333333333333333,False,
qwen3-5-2b,run1,near_correct_rounding,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,near_correct_rounding,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run1,near_correct_rounding,Completeness,1.0,0.85,False,
qwen3-5-2b,run1,near_correct_rounding,Informativeness,0.0,0.6,False,
qwen3-5-2b,run1,valid_technical_sample,Faithfulness,0.0,0.5714285714285714,False,
qwen3-5-2b,run1,valid_technical_sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,valid_technical_sample,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,valid_technical_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,valid_technical_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,mixed_correct_and_wrong,Faithfulness,1.0,0.75,False,
qwen3-5-2b,run1,mixed_correct_and_wrong,AnswerRelevancy,0.0,0.3333333333333333,False,
qwen3-5-2b,run1,mixed_correct_and_wrong,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,mixed_correct_and_wrong,Completeness,0.0,0.45,False,
qwen3-5-2b,run1,mixed_correct_and_wrong,Informativeness,1.0,0.9,False,
qwen3-5-2b,run1,perfect_paraphrase,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,perfect_paraphrase,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,perfect_paraphrase,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,perfect_paraphrase,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,perfect_paraphrase,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,valid_sample,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,valid_sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,valid_sample,ContextualRelevancy,1.0,0.8,False,
qwen3-5-2b,run1,valid_sample,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,valid_sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,sample,Faithfulness,1.0,1.0,False,
qwen3-5-2b,run1,sample,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,sample,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run1,sample,Completeness,1.0,0.85,False,
qwen3-5-2b,run1,sample,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,correct_with_extras_beyond_context,Faithfulness,1.0,0.8333333333333334,False,
qwen3-5-2b,run1,correct_with_extras_beyond_context,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,correct_with_extras_beyond_context,ContextualRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,correct_with_extras_beyond_context,Completeness,1.0,1.0,False,
qwen3-5-2b,run1,correct_with_extras_beyond_context,Informativeness,1.0,1.0,False,
qwen3-5-2b,run1,irrelevant_context,Faithfulness,0.0,0.0,False,
qwen3-5-2b,run1,irrelevant_context,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,irrelevant_context,ContextualRelevancy,0.0,0.5,False,
qwen3-5-2b,run1,irrelevant_context,Completeness,0.0,0.0,False,
qwen3-5-2b,run1,irrelevant_context,Informativeness,1.0,0.9,False,
qwen3-5-2b,run1,correct_but_padded,Faithfulness,0.0,0.4444444444444444,False,
qwen3-5-2b,run1,correct_but_padded,AnswerRelevancy,1.0,1.0,False,
qwen3-5-2b,run1,correct_but_padded,ContextualRelevancy,0.0,0.6666666666666666,False,
