fixture,metric,run1,run2,run3,range
empty_output,Informativeness,1.0,0.0,0.0,1.0
contradicts_context,Completeness,1.0,0.0,0.0,1.0
empty_output,AnswerRelevancy,0.0,0.0,1.0,1.0
correct_wrong_language,ContextualRelevancy,0.0,1.0,1.0,1.0
off_topic_answer,Faithfulness,1.0,0.0,0.25,1.0
off_topic_answer,AnswerRelevancy,0.6666666666666666,0.0,1.0,1.0
math_notation_heavy,Faithfulness,0.6666666666666666,1.0,0.0,1.0
irrelevant_context,Faithfulness,0.0,0.6666666666666666,1.0,1.0
irrelevant_context,Completeness,0.0,0.8,1.0,1.0
fabricated_statistics,ContextualRelevancy,0.0,1.0,1.0,1.0
valid_sample,Faithfulness,1.0,0.5,0.0,1.0
subtle_restatement_different_framing,Faithfulness,0.0,1.0,0.75,1.0
not_valid_sample,Faithfulness,0.0,0.0,1.0,1.0
refusal_answer,AnswerRelevancy,0.0,0.0,1.0,1.0
nuanced_ambiguous,Informativeness,0.0,0.9,0.0,0.9
refusal_answer,Informativeness,0.9,0.0,0.0,0.9
prompt_injection_leak,Informativeness,0.0,0.0,0.9,0.9
off_topic_answer,Informativeness,0.8,0.0,0.8,0.8
mixed_correct_and_wrong,Completeness,0.45,0.0,0.7,0.7
prompt_injection_leak,Completeness,1.0,0.3,0.5,0.7
mixed_correct_and_wrong,AnswerRelevancy,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666667
complex_technical_comparison,ContextualRelevancy,1.0,1.0,0.3333333333333333,0.6666666666666667
refusal_answer,Faithfulness,0.0,0.6666666666666666,0.0,0.6666666666666666
nuanced_ambiguous,ContextualRelevancy,0.0,0.6666666666666666,0.25,0.6666666666666666
mixed_correct_and_wrong,Informativeness,0.9,0.9,0.3,0.6000000000000001
sample,Completeness,0.85,1.0,0.4,0.6
off_topic_answer,ContextualRelevancy,0.4,1.0,1.0,0.6
correct_but_padded,Faithfulness,0.4444444444444444,1.0,0.8888888888888888,0.5555555555555556
contradicts_context,AnswerRelevancy,0.25,0.0,0.5,0.5
complex_technical_comparison,Completeness,0.9,0.5,1.0,0.5
empty_output,ContextualRelevancy,1.0,0.5,1.0,0.5
contradicts_context,Informativeness,1.0,0.9,0.5,0.5
irrelevant_context,ContextualRelevancy,0.5,0.0,0.0,0.5
nuanced_ambiguous,AnswerRelevancy,0.5,0.75,1.0,0.5
near_correct_rounding,ContextualRelevancy,0.5,0.0,0.0,0.5
refusal_answer,ContextualRelevancy,0.5,1.0,1.0,0.5
perfect_paraphrase,ContextualRelevancy,1.0,1.0,0.5,0.5
perfect_paraphrase,Faithfulness,1.0,0.5,1.0,0.5
sample,ContextualRelevancy,0.5,1.0,1.0,0.5
sample,AnswerRelevancy,1.0,0.5,1.0,0.5
vague_answer,Completeness,0.5,0.5,1.0,0.5
valid_technical_sample,ContextualRelevancy,1.0,0.8,0.5,0.5
